,string,label,clause1,operator,clause2
561,HCbA@718 !> vE_fxc@629,2,1,7,1
562,VYKLfAf@369 !< sgH_uy@709,2,1,8,1
563,_@755 > ZPKUlqV@709,2,1,2,1
564,qS_z_f@160 !< ehnVtuxBxR@202,2,1,8,1
565,Mdq@826 != B@570,2,1,9,1
566,Tmh@332 !< kio@387,2,1,8,1
567,e@861 !> XUdW@161,2,1,7,1
568,RQ@106 >= l@453,2,1,4,1
569,ZVCqD@172 !< kib@647,2,1,8,1
570,G@429 = _LMPw@934,2,1,6,1
571,Sg@244 !> fRPGL@252,2,1,7,1
572,_@732 = hDF___ChI@494,2,1,6,1
573,G__b@505 != HunP__u__j@779,2,1,9,1
574,B@882 !> pKuItq@123,2,1,7,1
575,ev_fJUEPf@617 > _bJru@105,2,1,2,1
576,zOFMllTI@939 !< eFa@96,2,1,8,1
577,du_o_BE_@192 = cbLn_phE@887,2,1,6,1
578,AOXopJtjU@244 > AR_TVwn@276,2,1,2,1
579,c@810 > pEKqO@75,2,1,2,1
580,pgd_r@649 != XVI_@608,2,1,9,1
581,kV@372 != JQ_KTb@280,2,1,9,1
582,pUdmricL_D@513 < _@13,2,1,3,1
583,Vbfaj@667 != Nb@894,2,1,9,1
584,_l@113 >= E_@939,2,1,4,1
585,Gjhv__HaP@95 >= Wq@728,2,1,4,1
586,zqw@683 != f@763,2,1,9,1
587,mYMpKxXSMH@871 != i@638,2,1,9,1
588,N_JMcI@965 < qWMLD@752,2,1,3,1
589,o_@253 !< MIa_Xo_jq@350,2,1,8,1
590,_@443 != bEQjZ@37,2,1,9,1
591,T_ZnyUlM_K@331 !< Tpkmfs_OE@407,2,1,8,1
592,nFjPG__a_@323 > v@883,2,1,2,1
593,_fUOyQ@175 !< _Tuls@253,2,1,8,1
594,l@213 !< iQYJj@141,2,1,8,1
595,LycL@989 >= dM@22,2,1,4,1
596,oZpC@334 !< _bxtLHd_@275,2,1,8,1
597,Jw_HI@860 < Xht@919,2,1,3,1
598,GwOq@225 != J___rd_j_U@382,2,1,9,1
599,go@90 != M_lOLWmeA@3,2,1,9,1
