,statement,encoding
223,"Fvqy@t=(191,839) <= 16/p__@t=(103,115)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
224,"EvXhuylBTW-73@t=(423,807) < 22-vWsogge@t=274","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
225,"LU_Kb@t=874**3 < c_LUUfee/20@t=(9,558)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
226,"k_AqQ@t=566+24 != 46**csIJB_@t=(104,453)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
227,"Nyml@t=(243,396) <= I@t=(334,367)","[3, 1, 5, 6, 3, 1, 5]"
228,"Vwb_V@t=(563,968)*9 < 51*YlocwFA@t=(812,872)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
229,"VvNy_A@t=(229,638) != 58*BPeL_Ouu@t=79","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
230,"_yUr__@t=49-11 >= g_AZuoSd/1@t=(331,913)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
231,"all a@t=(120,940) <= 40**At_tehI_GW@t=(128,395)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
232,"max aUyMep_fK@t=(109,461) <= Xt_JgOG@t=426","[2, 3, 1, 5, 6, 3, 1, 4]"
233,xt@t=539 == 39**RHKkUQ@t=535,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
234,"Z_hFVIZ@t=679/0 >= 67-d_zXzAv_@t=(524,581)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
235,"VXfuyLE/0@t=(1,688) == max EnLbRA@t=(205,980)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
236,__S@t=708 > 28+pD@t=701,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
237,"_YC_G@t=(171,306)+67 == nfa@t=(780,922)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
238,"_K_p@t=(948,980)/60 > J_A_l@t=7","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
239,"lHYSeLm_@t=(605,712) <= max PGdtYz__@t=(60,635)","[3, 1, 5, 6, 2, 3, 1, 5]"
240,"KPOU_@t=(703,911)+74 != JJZKI_rfTu@t=(207,417)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
241,"_kEzD@t=(287,330) < max _qCJf@t=(542,708)","[3, 1, 5, 6, 2, 3, 1, 5]"
242,_z_I@t=92-18 >= 63**_JXy_k__@t=793,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
243,"ZAiyU_AF*39@t=301 < Y__fehu@t=(395,873)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
244,"OA_o_CRN@t=713**79 >= r_pt_W@t=(183,209)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
245,"78*Rg_dqdE@t=477 <= ykrx_SG__@t=(552,700)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
246,"50+_WTX_Qw_Ly@t=(948,965) == 13+j_FgrE@t=(15,587)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
247,_K@t=407 != wobyeBKfm@t=429+30,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
248,"_t@t=(597,752)-29 > urwBQNd@t=742-40","[3, 1, 5, 7, 4, 6, 3, 1, 4, 7, 4]"
249,"GSIqtClc@t=(4,832) <= wgW@t=(675,825)**68","[3, 1, 5, 6, 3, 1, 5, 7, 4]"
250,TtkW@t=245 == 41**P@t=190,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
251,"oarCzU@t=(149,868) > KBqoc_@t=(20,936)","[3, 1, 5, 6, 3, 1, 5]"
252,bn@t=860 != rEK__aLQ-43@t=372,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
253,83**FEQS@t=667 > DqjHejtp@t=766,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
254,"53*V_SQkVmP@t=232 <= 45/Y_N@t=(686,979)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
255,"min FSCqRwB_@t=(201,222) != 28+j_x_wyLhf@t=265","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
256,"mean Fba@t=(47,435) > NaJbN@t=(426,568)*14","[2, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
257,Zf@t=350 > 70/UhwN_d@t=963,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
258,"YxiihWBN_@t=(87,422) >= 79-F_pQObr@t=(233,719)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
259,"13-HPKRpoxnV@t=(56,481) < _nWwFBJ_**74@t=141","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
260,"97+thfsQ@t=761 > OjEhAfxHG@t=(684,817)*84","[4, 7, 3, 1, 4, 6, 3, 1, 5, 7, 4]"
261,"8-_susG@t=480 <= nvl__H@t=(281,666)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
262,"_bHjEnKB@t=(343,392)*48 != KhGpvgBp@t=31","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
263,"max _F@t=(619,642) >= max mK@t=(559,831)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
264,"99**f_nSnC_D@t=(73,382) != p_PI@t=686","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
265,"PwqJs_Va/47@t=(56,181) != 87/h_@t=169","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
266,"sFwLthz_EP*5@t=920 <= all rA@t=(53,492)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
267,"b_U_jSPF**20@t=(161,505) >= cdbZk__zE*34@t=(170,898)","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 5]"
268,"Dr_DEvO_qw-73@t=951 > 85**AQaibmBE@t=(597,630)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
269,"IlP___P@t=(354,699) < 1*hbjHWGddA@t=(443,703)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
270,iQ@t=961**69 <= 48**Vn@t=47,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
271,"t@t=417*81 == 83+QO_FFF@t=(53,384)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
272,"68+VXozdkk@t=(291,857) == 18*_E_n_@t=916","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
273,"A_uVFk-46@t=207 != 28+xEkRKSsT_@t=(362,695)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
274,"OUxWvEy@t=879**83 >= 10**Q@t=(36,526)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
275,"74*IW_SQZwtGC@t=24 < 88**qA_ns@t=(386,713)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
276,"uYRpMKmhj@t=(789,862) == 86**_VijK@t=260","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
277,"kKJKb___@t=(38,870) > 45*CLTwIEcGq_@t=925","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
278,"KFv_L_P_N_@t=(563,649)-17 < m@t=515","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
279,"74-fpfxtqn@t=(778,986) > 56-U@t=502","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
280,"u_dSPeIl_@t=(61,355) != 96-LZPq@t=(706,757)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
281,73/N_cSG_iEG@t=900 > FZz_h@t=194,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
282,"Ihoezw__EJ@t=(46,89) == 83**s_IHc@t=(704,761)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
283,"12**Ql_kvcLEQ@t=(146,427) == hr_L@t=(489,861)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
284,"67**afNY_R@t=(437,980) <= YDJKOVYbff*68@t=49","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
285,EJcadx@t=232*20 > 57/qa@t=987,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
286,"94-HyBib@t=(779,950) <= all YQQIYR@t=(176,321)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
287,"12+V_l@t=(55,958) > UCo/47@t=738","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
288,a_vb/89@t=684 < ynG_Rn@t=889,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
289,"mean Bw_JpQ_V@t=(97,244) == v_X@t=515","[2, 3, 1, 5, 6, 3, 1, 4]"
290,"wxgIyfG_@t=(54,737)+22 > tnU+98@t=310","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
291,"all wHM_IUJ_s@t=(705,737) >= ALPXWr@t=(130,458)","[2, 3, 1, 5, 6, 3, 1, 5]"
292,yZcF_O@t=472 == _GMafh_yLl@t=215,"[3, 1, 4, 6, 3, 1, 4]"
293,"3/Q_@t=(219,295) > e**68@t=(634,899)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
294,jwA@t=591/57 >= 14-ucjm@t=115,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
295,"min Pq@t=(177,206) >= HNJjoFK@t=(292,652)**18","[2, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
296,"36**S_tfc@t=25 > mean rH_iYJLn_@t=(494,551)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
297,"52+L_Uu_Fe@t=(28,429) <= 63/inFtlKdGMO@t=137","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
298,"75**je@t=837 != RTyBVl@t=(783,946)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
299,GcQG@t=245**75 >= lZ_WtR*3@t=212,"[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 4]"
300,"D**63@t=(654,962) < aXbo@t=772","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
301,"SIk@t=(97,476) < iNcKd_Vz@t=(761,825)+58","[3, 1, 5, 6, 3, 1, 5, 7, 4]"
302,"18*g@t=295 < fdge@t=(806,987)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
303,"Q@t=814 <= max Ad@t=(390,480)","[3, 1, 4, 6, 2, 3, 1, 5]"
304,57*j___@t=871 >= 26*QtOCxmu@t=603,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
305,84-O_xtOomlK@t=611 >= 35/l_ZC@t=837,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
306,"min hm@t=(425,928) < rep@t=(468,837)","[2, 3, 1, 5, 6, 3, 1, 5]"
307,"DYQnqGblr@t=(154,714) >= 69*_YW@t=584","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
308,"3-_jo@t=(193,321) <= JZzuD_@t=475","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
309,"FajQElr__@t=(443,800) >= ZKSEAKWR@t=703*96","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
310,"26*FMfcSE@t=478 != JHT@t=(76,120)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
311,"sHzlWUctrR@t=(569,945) < 11/kXfH@t=(426,774)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
312,"QiQxlgF_pA@t=(200,845) != pu_**43@t=(44,391)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
313,"24*m_h__S@t=6 > mean hoq@t=(160,206)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
314,"mean RgHmn@t=(87,241) != mean b@t=(55,676)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
315,"all KEyc@t=(416,636) <= pHgOWL@t=(249,825)","[2, 3, 1, 5, 6, 3, 1, 5]"
316,MwwgsIIp+6@t=489 != CEO_QOX_Y@t=295,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
317,"vHUb_Q@t=(308,637) < v*96@t=(208,303)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
318,"mean Yr@t=(314,505) >= mean __Og@t=(681,848)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
319,"YrsMMMm@t=(60,253)*51 <= vBIA@t=524","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
320,"1**i@t=(607,828) == tr@t=(194,405)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
321,"15-EOw_@t=(127,436) >= 84*CT_OVMQFfR@t=875","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
322,"PQF_gb_E@t=(534,651) <= max vY@t=(583,792)","[3, 1, 5, 6, 2, 3, 1, 5]"
323,65+xYOB@t=482 <= UX_w@t=547,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
324,"min aAm___@t=(365,541) >= xZSR@t=(577,616)","[2, 3, 1, 5, 6, 3, 1, 5]"
325,"0**a_xZz@t=(298,739) < JkSRc-34@t=(535,579)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
326,"mean Em@t=(150,206) <= x/89@t=(544,975)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
327,"o@t=154*3 <= 34*P@t=(226,447)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
328,DW/17@t=562 != 42**sah_SX@t=854,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
329,El@t=183 < 22-VftN_Us@t=320,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
330,"all qUI_jk_i@t=(270,666) >= x@t=512","[2, 3, 1, 5, 6, 3, 1, 4]"
331,"9-_UR__q@t=(190,508) >= 45**_m__kizvWQ@t=(454,797)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
332,"CYm_dRo@t=(352,543) < _b-68@t=(2,71)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
333,"z@t=(266,662) <= 51-kdTukB@t=867","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
334,"_eP@t=(56,926)-65 > qc@t=558-97","[3, 1, 5, 7, 4, 6, 3, 1, 4, 7, 4]"
335,qfQ@t=858 == OH@t=282,"[3, 1, 4, 6, 3, 1, 4]"
336,62-_GqXkY@t=420 == frbTYlEQh_@t=213/92,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
337,"min hD_@t=(331,513) == 45+p_zOMMcg_X@t=(400,823)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
338,"zgC_CSntl+5@t=(22,490) < GOhPU@t=(166,879)","[3, 7, 4, 1, 5, 6, 3, 1, 5]"
339,"82**XoDA@t=207 <= z_yIFjn@t=(151,751)**71","[4, 7, 3, 1, 4, 6, 3, 1, 5, 7, 4]"
340,"N_GkQP@t=208 >= s_c_U_h@t=(933,958)","[3, 1, 4, 6, 3, 1, 5]"
341,_ZQ_ihG@t=672**66 > _f@t=299,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
342,"D@t=(411,844) == jD_GsFPsx@t=284**69","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
343,"kaD__K@t=(55,345) > 92/xmLY@t=943","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
344,"max _TL@t=(103,213) > all oe_@t=(137,517)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
345,"36/C_TO@t=(52,639) <= _dlI-89@t=(290,945)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
346,"dr__UcPx/68@t=991 > max u@t=(56,320)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
347,"all oOinZqf@t=(903,925) < cn@t=3-66","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
348,"jt_FQwfmoe@t=(667,719) == 22-BglLm@t=(380,653)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
349,"JUTsYgz@t=259 <= q_jUbupk_@t=(67,678)","[3, 1, 4, 6, 3, 1, 5]"
350,"43**HZQ_qEwbI_@t=753 == 91-iw@t=(376,418)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
351,44*CrDDti_L@t=611 == 29-Hl@t=929,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
352,"XXwv_IYPG_@t=(64,415) > LLVale_@t=(177,819)","[3, 1, 5, 6, 3, 1, 5]"
353,"90+lMx@t=16 < _arOK_qxtb*17@t=(408,476)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
354,"h_gN@t=(71,349)*2 >= ivvzM@t=375","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
355,"all c@t=(235,898) <= 36-dw@t=168","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
356,"95-hR_t@t=(234,532) != min vuGEqCVR@t=(832,964)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
357,lxS_L_@t=536 <= 92*dnT@t=178,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
358,"XZelqUImje-6@t=(285,769) <= 84-QsK@t=(541,856)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
359,"_A_FjP@t=(371,440) >= Eq_qAIh_fc@t=132","[3, 1, 5, 6, 3, 1, 4]"
360,"_gWuLB*26@t=(172,655) < 73+m__D_@t=922","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
361,"2/ZGEU_JSG@t=845 != max VT_Jh@t=(820,999)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
362,"mean kG@t=(355,515) > yF_Hv@t=(531,896)","[2, 3, 1, 5, 6, 3, 1, 5]"
363,"__Jet+28@t=975 > 82/v_BfpFzdZj@t=(729,851)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
364,"mIUXzY@t=(635,908) != min zStcY__f_R@t=(223,621)","[3, 1, 5, 6, 2, 3, 1, 5]"
365,"i@t=(111,630) == y*81@t=(29,343)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
366,"__xlN*50@t=294 >= HBffB@t=(42,208)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
367,"___Vo_@t=83 <= wTs@t=(131,518)","[3, 1, 4, 6, 3, 1, 5]"
368,"hjQLO_S@t=(645,712)/72 <= 71**FUb@t=(767,798)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
369,"_w@t=(806,926) >= 71/QjgC_oi@t=(97,762)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
370,"82**TqTYEKNpzW@t=(422,907) == awIh_CmL@t=(409,875)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
371,"min e_CsbAdz@t=(74,590) <= 14*_S_N_gkow@t=(105,134)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
372,"Vo@t=(800,884) < ETx@t=765**63","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
373,"LgGaM@t=(14,54) > max WC@t=(85,556)","[3, 1, 5, 6, 2, 3, 1, 5]"
374,"i@t=28**3 < _rg+20@t=(739,846)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
375,"min ___mrg@t=(457,472) != F@t=(217,290)","[2, 3, 1, 5, 6, 3, 1, 5]"
376,"pU@t=(259,798)+58 < 3-bF__@t=(292,876)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
377,"zAkA**12@t=(238,306) < FTemXr_HA+91@t=180","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
378,qFjO-62@t=264 == JnvcnQds@t=252,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
379,"xu**96@t=(10,502) > 32**_tPIaE@t=(372,413)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
380,"aMY+8@t=(220,964) == 94**EEx_ErVxGY@t=875","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
381,"jhleCU@t=397 > mean _niMv@t=(148,975)","[3, 1, 4, 6, 2, 3, 1, 5]"
382,"sG_OS@t=(231,556) <= 72*_Fv_@t=813","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
383,"81+d_K_zK_P@t=602 != all yJ_n@t=(512,669)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
384,"__-36@t=(49,214) < KYNwy__@t=(29,55)","[3, 7, 4, 1, 5, 6, 3, 1, 5]"
385,"35+DPCWPN_gj@t=298 != ZAkdpBH_W**64@t=(391,525)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
386,"mean po_y@t=(956,996) < Xd__fx_Uux@t=391","[2, 3, 1, 5, 6, 3, 1, 4]"
387,"0-mx_pB_Wm@t=(9,390) > 91-JB_vkORo_G@t=988","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
388,"b_LeDx_+98@t=566 <= sC@t=(584,854)+93","[3, 7, 4, 1, 4, 6, 3, 1, 5, 7, 4]"
389,"32-ZQ_FyWh@t=(364,691) >= 7*_b@t=(268,839)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
390,6/_DpuscV@t=562 > _hj@t=141/27,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
391,"SYI_uaC@t=126 > LeRyXBiBb@t=(49,852)**3","[3, 1, 4, 6, 3, 1, 5, 7, 4]"
392,"26/TyCNUUvp_@t=974 < y/69@t=(529,817)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
393,GnU@t=63 > ECrFe@t=217/53,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
394,"24**_boMN_@t=201 != a_a_@t=(258,705)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
395,"71/jmT_WFf_i@t=(857,859) <= NAclF_vt@t=(658,704)*97","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
396,"_Yb_qB_jLa**88@t=(303,581) < 95**fVpBn_@t=(109,265)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
397,"51*x_Ipa@t=(147,690) >= 84*hpW_kc@t=244","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
398,"_G_kN@t=710 != XfiVK_UK__@t=(447,674)/22","[3, 1, 4, 6, 3, 1, 5, 7, 4]"
399,"min kVi_QPfm_l@t=(238,953) == all lOxiq@t=(4,38)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
400,x_FP@t=785 > ge@t=721*89,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
401,"yXzRc__Vf@t=723 <= _g+13@t=(40,820)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
402,"_@t=647 < _GbkJx@t=(151,840)-71","[3, 1, 4, 6, 3, 1, 5, 7, 4]"
403,"_YNL@t=(317,378)**4 >= O_kxpBt_@t=438","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
404,"Igusq@t=(212,494)/49 > guwAQpc/2@t=351","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
405,P@t=692 < _c__@t=41*1,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
406,"U_SaA@t=66**18 > 43*a_k_@t=(517,591)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
407,"61*vuCa@t=609 >= xF_@t=(453,782)-47","[4, 7, 3, 1, 4, 6, 3, 1, 5, 7, 4]"
408,"f__R_LHERR@t=(461,699) != oJJtETfj@t=1","[3, 1, 5, 6, 3, 1, 4]"
409,"80*jMBU_juy_w@t=565 != rA_@t=(283,731)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
410,"73-CSwLql_le@t=(248,722) <= 20/NZnVv@t=(186,440)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
411,"41/SNn@t=475 >= 85*_UBDop@t=(564,979)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
412,"_Wl@t=(97,297) != 7/EAYVjsw@t=846","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
413,"85-ZJG_cbv_G@t=803 <= all B__Iz__r@t=(690,763)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
414,"cnDkdUQQjz@t=(471,528)+41 > ___@t=490","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
415,YcC@t=495/3 <= 18*XLwEXK__Re@t=297,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
416,"33**OGL@t=(406,556) > mean jZ_Vi_P@t=(744,939)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
417,"C__H@t=(487,870) <= max FvAr__lQe@t=(110,295)","[3, 1, 5, 6, 2, 3, 1, 5]"
418,DxYR@t=362+19 != 43**tPUk_@t=380,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
419,"24/K@t=653 > vog@t=(240,333)**65","[4, 7, 3, 1, 4, 6, 3, 1, 5, 7, 4]"
420,"87*Z@t=(485,586) != B_VHSUqA_@t=(121,342)-81","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
421,"_x@t=(755,958)*75 == 27*wwI_uQNdV@t=442","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
422,"63+POGlLF@t=(478,653) <= x_@t=979","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
423,"T/81@t=966 <= mean abcS_@t=(69,426)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
424,"lNgOarydv@t=(740,769) == fjvxwiu@t=(853,992)","[3, 1, 5, 6, 3, 1, 5]"
425,"y_AvSnch@t=(133,953) != bd@t=943+33","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
426,"NbXT@t=316 == 65/c@t=(653,781)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
427,"29**n@t=(77,214) == _me_l+36@t=(713,789)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
428,"73/zk_DE_y@t=660 > 96-Yvj_sAr@t=(527,651)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
429,nPdbrhJDy@t=283 != lUXdf_EW@t=750,"[3, 1, 4, 6, 3, 1, 4]"
430,"_OXsotE@t=(161,174) >= pDVYLL**38@t=529","[3, 1, 5, 6, 3, 7, 4, 1, 4]"
431,"91-YKXtdC@t=(651,876) >= 68-e@t=434","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
432,"XwtorVo/57@t=(200,386) < tGtBo_**13@t=(366,538)","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 5]"
433,"94/mUeGOVxh@t=(318,463) > xk_wI@t=206","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
434,"L_Q_u_rtmO@t=57 != b-71@t=(270,680)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
435,"I_ispQaXo@t=(395,835)/75 >= 66+FhXjPkX@t=(205,802)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
436,"GJrsUDkVF*76@t=842 != min _UEHLtAeN@t=(433,449)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
437,"XqjA-17@t=(253,327) > ejt_xpOwgC+33@t=859","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
438,"j_xdRs@t=189/4 == l_Cyk@t=(585,886)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
439,"UY@t=532 == NbpcrpPcJp@t=(176,702)","[3, 1, 4, 6, 3, 1, 5]"
440,"_iq@t=(560,993) > min Qan@t=(935,946)","[3, 1, 5, 6, 2, 3, 1, 5]"
441,"t__s_fcl@t=373 < KRxepom@t=(514,692)","[3, 1, 4, 6, 3, 1, 5]"
442,"30**b@t=(9,572) == pEjLyh*9@t=(36,85)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
443,81**vdt@t=45 < z@t=18*57,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
